product_id,name,category,price,stock_quantity,supplier_id,description,tags,weight_kg,dimensions_cm,created_at,is_active
P000001,"Product 1: Stationery Item",Stationery,289.99,4598,SUP005,"Description for product 1 with Stationery",electronics,computer,23.80,81x37x31,2024-04-22T04:00:00.000Z,true
P000002,"Product 2: Accessories Item",Accessories,69.34,191,SUP004,"Description for product 2 with Accessories",storage,office,computer,5.02,42x60x17,2024-08-05T04:00:00.000Z,true
P000003,"Product 3: Office Supplies Item",Office Supplies,11.37,4647,SUP004,"Description for product 3 with Office Supplies",portable,furniture,37.42,9x16x55,2024-12-25T05:00:00.000Z,true
P000004,"Product 4: Stationery Item",Stationery,340.53,3345,SUP005,"Description for product 4 with Stationery",furniture,durable,20.15,47x26x88,2024-04-08T04:00:00.000Z,true
P000005,"Product 5: Accessories Item",Accessories,417.45,861,SUP002,"Description for product 5 with Accessories",office,0.32,24x101x70,2024-07-13T04:00:00.000Z,true
P000006,"Product 6: Electronics Item",Electronics,36.06,1810,SUP008,"Description for product 6 with Electronics",office,46.88,48x48x47,2024-11-25T05:00:00.000Z,true
P000007,"Product 7: Stationery Item",Stationery,207.36,1153,SUP007,"Description for product 7 with Stationery",professional,ergonomic,15.68,14x21x77,2024-12-21T05:00:00.000Z,true
P000008,"Product 8: Accessories Item",Accessories,309.80,4064,SUP005,"Description for product 8 with Accessories",durable,electronics,office,13.76,94x35x35,2024-09-18T04:00:00.000Z,true
P000009,"Product 9: Stationery Item",Stationery,204.70,3662,SUP001,"Description for product 9 with Stationery",durable,office,electronics,38.34,93x55x99,2024-10-09T04:00:00.000Z,false
P000010,"Product 10: Furniture Item",Furniture,101.19,4485,SUP003,"Description for product 10 with Furniture",computer,19.88,25x93x80,2024-10-15T04:00:00.000Z,true
P000011,"Product 11: Furniture Item",Furniture,227.02,4729,SUP005,"Description for product 11 with Furniture",electronics,wireless,26.98,8x49x57,2024-11-25T05:00:00.000Z,true
P000012,"Product 12: Stationery Item",Stationery,387.95,3412,SUP006,"Description for product 12 with Stationery",electronics,ergonomic,office,44.93,51x57x33,2024-09-28T04:00:00.000Z,true
P000013,"Product 13: Electronics Item",Electronics,11.62,110,SUP001,"Description for product 13 with Electronics",electronics,furniture,20.76,84x99x77,2024-11-12T05:00:00.000Z,false
P000014,"Product 14: Accessories Item",Accessories,251.36,2638,SUP006,"Description for product 14 with Accessories",electronics,25.39,63x53x58,2024-11-08T05:00:00.000Z,true
P000015,"Product 15: Electronics Item",Electronics,178.71,1662,SUP001,"Description for product 15 with Electronics",electronics,wireless,2.23,59x21x91,2024-06-17T04:00:00.000Z,true
P000016,"Product 16: Accessories Item",Accessories,495.89,4805,SUP005,"Description for product 16 with Accessories",professional,furniture,36.37,88x46x36,2024-05-19T04:00:00.000Z,true
P000017,"Product 17: Accessories Item",Accessories,16.47,4449,SUP005,"Description for product 17 with Accessories",computer,portable,40.86,92x93x24,2024-05-28T04:00:00.000Z,true
P000018,"Product 18: Furniture Item",Furniture,119.72,409,SUP004,"Description for product 18 with Furniture",storage,ergonomic,33.70,8x78x64,2024-09-01T04:00:00.000Z,true
P000019,"Product 19: Stationery Item",Stationery,435.85,3179,SUP007,"Description for product 19 with Stationery",portable,8.75,89x6x39,2024-08-27T04:00:00.000Z,true
P000020,"Product 20: Electronics Item",Electronics,210.67,3250,SUP007,"Description for product 20 with Electronics",furniture,office,13.83,48x61x64,2024-02-14T05:00:00.000Z,true
P000021,"Product 21: Office Supplies Item",Office Supplies,436.35,4200,SUP008,"Description for product 21 with Office Supplies",computer,electronics,40.13,79x40x71,2024-09-05T04:00:00.000Z,true
P000022,"Product 22: Accessories Item",Accessories,195.10,3453,SUP001,"Description for product 22 with Accessories",portable,professional,wireless,19.37,54x49x75,2024-01-25T05:00:00.000Z,true
P000023,"Product 23: Office Supplies Item",Office Supplies,494.01,4317,SUP002,"Description for product 23 with Office Supplies",portable,8.26,13x76x49,2024-08-18T04:00:00.000Z,true
P000024,"Product 24: Accessories Item",Accessories,192.68,2741,SUP003,"Description for product 24 with Accessories",office,portable,34.45,52x46x33,2024-02-06T05:00:00.000Z,true
P000025,"Product 25: Accessories Item",Accessories,448.91,2966,SUP006,"Description for product 25 with Accessories",portable,26.52,34x52x87,2024-06-21T04:00:00.000Z,false
P000026,"Product 26: Accessories Item",Accessories,475.30,3218,SUP004,"Description for product 26 with Accessories",electronics,portable,13.85,19x43x60,2024-03-25T04:00:00.000Z,true
P000027,"Product 27: Stationery Item",Stationery,83.79,789,SUP003,"Description for product 27 with Stationery",furniture,ergonomic,26.05,88x66x76,2024-09-10T04:00:00.000Z,true
P000028,"Product 28: Furniture Item",Furniture,268.03,3726,SUP007,"Description for product 28 with Furniture",office,furniture,storage,33.93,72x79x65,2024-07-03T04:00:00.000Z,false
P000029,"Product 29: Accessories Item",Accessories,235.04,3537,SUP007,"Description for product 29 with Accessories",portable,ergonomic,7.57,48x56x103,2024-04-25T04:00:00.000Z,true
P000030,"Product 30: Accessories Item",Accessories,482.89,2501,SUP007,"Description for product 30 with Accessories",computer,electronics,durable,16.67,17x90x54,2024-07-04T04:00:00.000Z,true
P000031,"Product 31: Electronics Item",Electronics,125.19,1916,SUP008,"Description for product 31 with Electronics",professional,35.12,94x59x49,2024-01-12T05:00:00.000Z,true
P000032,"Product 32: Accessories Item",Accessories,364.22,2213,SUP006,"Description for product 32 with Accessories",electronics,46.33,102x56x79,2024-11-24T05:00:00.000Z,true
P000033,"Product 33: Electronics Item",Electronics,150.03,1292,SUP004,"Description for product 33 with Electronics",durable,36.54,17x103x28,2024-12-02T05:00:00.000Z,true
P000034,"Product 34: Office Supplies Item",Office Supplies,83.25,1046,SUP006,"Description for product 34 with Office Supplies",computer,14.34,10x89x53,2024-10-13T04:00:00.000Z,true
P000035,"Product 35: Electronics Item",Electronics,243.96,3957,SUP005,"Description for product 35 with Electronics",storage,computer,41.07,16x64x10,2024-06-09T04:00:00.000Z,true
P000036,"Product 36: Accessories Item",Accessories,100.75,699,SUP003,"Description for product 36 with Accessories",computer,wireless,office,18.03,72x82x55,2024-07-01T04:00:00.000Z,true
P000037,"Product 37: Office Supplies Item",Office Supplies,102.79,2034,SUP005,"Description for product 37 with Office Supplies",electronics,portable,47.04,73x47x15,2024-11-20T05:00:00.000Z,true
P000038,"Product 38: Accessories Item",Accessories,347.92,3445,SUP008,"Description for product 38 with Accessories",professional,3.82,18x27x38,2024-05-09T04:00:00.000Z,true
P000039,"Product 39: Office Supplies Item",Office Supplies,81.37,2164,SUP004,"Description for product 39 with Office Supplies",office,ergonomic,computer,25.91,82x77x32,2024-11-19T05:00:00.000Z,true
P000040,"Product 40: Stationery Item",Stationery,82.30,2903,SUP004,"Description for product 40 with Stationery",office,47.25,26x90x39,2024-06-19T04:00:00.000Z,true
P000041,"Product 41: Electronics Item",Electronics,74.14,3674,SUP005,"Description for product 41 with Electronics",wireless,professional,electronics,8.67,51x49x85,2024-02-20T05:00:00.000Z,true
P000042,"Product 42: Stationery Item",Stationery,56.03,2915,SUP001,"Description for product 42 with Stationery",professional,wireless,37.47,44x21x59,2024-11-25T05:00:00.000Z,true
P000043,"Product 43: Accessories Item",Accessories,94.85,1327,SUP004,"Description for product 43 with Accessories",furniture,storage,wireless,20.19,40x87x27,2024-09-05T04:00:00.000Z,false
P000044,"Product 44: Furniture Item",Furniture,59.81,3048,SUP001,"Description for product 44 with Furniture",durable,43.76,64x46x22,2024-11-15T05:00:00.000Z,true
P000045,"Product 45: Accessories Item",Accessories,217.33,1682,SUP002,"Description for product 45 with Accessories",wireless,portable,20.96,87x80x73,2024-11-18T05:00:00.000Z,false
P000046,"Product 46: Accessories Item",Accessories,328.71,940,SUP007,"Description for product 46 with Accessories",wireless,32.06,10x53x83,2024-05-27T04:00:00.000Z,true
P000047,"Product 47: Electronics Item",Electronics,331.53,4683,SUP002,"Description for product 47 with Electronics",storage,electronics,computer,9.43,68x49x89,2024-08-07T04:00:00.000Z,true
P000048,"Product 48: Stationery Item",Stationery,425.31,2231,SUP006,"Description for product 48 with Stationery",wireless,ergonomic,4.79,27x38x57,2024-07-11T04:00:00.000Z,false
P000049,"Product 49: Electronics Item",Electronics,122.13,4407,SUP004,"Description for product 49 with Electronics",ergonomic,portable,15.44,66x47x11,2024-08-19T04:00:00.000Z,true
P000050,"Product 50: Accessories Item",Accessories,459.26,2326,SUP003,"Description for product 50 with Accessories",wireless,electronics,15.01,34x25x16,2024-06-02T04:00:00.000Z,true
P000051,"Product 51: Accessories Item",Accessories,144.24,2165,SUP007,"Description for product 51 with Accessories",office,furniture,44.58,88x70x97,2024-12-06T05:00:00.000Z,true
P000052,"Product 52: Stationery Item",Stationery,333.65,4658,SUP004,"Description for product 52 with Stationery",wireless,20.40,11x34x9,2024-10-10T04:00:00.000Z,true
P000053,"Product 53: Office Supplies Item",Office Supplies,488.29,2452,SUP008,"Description for product 53 with Office Supplies",storage,office,45.12,32x39x40,2024-06-04T04:00:00.000Z,true
P000054,"Product 54: Office Supplies Item",Office Supplies,497.85,2470,SUP005,"Description for product 54 with Office Supplies",storage,durable,45.58,69x92x56,2024-08-25T04:00:00.000Z,false
P000055,"Product 55: Furniture Item",Furniture,148.88,4967,SUP002,"Description for product 55 with Furniture",electronics,1.13,100x81x86,2024-01-16T05:00:00.000Z,true
P000056,"Product 56: Furniture Item",Furniture,162.91,2085,SUP001,"Description for product 56 with Furniture",computer,29.55,9x43x17,2024-01-01T05:00:00.000Z,true
P000057,"Product 57: Office Supplies Item",Office Supplies,260.06,3775,SUP004,"Description for product 57 with Office Supplies",durable,office,3.88,75x93x7,2024-02-17T05:00:00.000Z,true
P000058,"Product 58: Accessories Item",Accessories,171.25,1928,SUP008,"Description for product 58 with Accessories",electronics,computer,47.80,80x43x104,2024-10-08T04:00:00.000Z,true
P000059,"Product 59: Stationery Item",Stationery,240.40,2420,SUP008,"Description for product 59 with Stationery",ergonomic,professional,29.21,28x40x27,2024-02-09T05:00:00.000Z,false
P000060,"Product 60: Electronics Item",Electronics,344.84,1189,SUP002,"Description for product 60 with Electronics",portable,29.63,33x86x33,2024-11-26T05:00:00.000Z,true
P000061,"Product 61: Stationery Item",Stationery,119.27,4481,SUP003,"Description for product 61 with Stationery",portable,furniture,professional,28.30,90x11x96,2024-10-21T04:00:00.000Z,false
P000062,"Product 62: Office Supplies Item",Office Supplies,192.22,445,SUP005,"Description for product 62 with Office Supplies",computer,wireless,46.68,54x58x68,2024-04-09T04:00:00.000Z,true
P000063,"Product 63: Accessories Item",Accessories,363.02,3605,SUP001,"Description for product 63 with Accessories",computer,45.61,94x74x48,2024-12-16T05:00:00.000Z,true
